"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 21 14:50:13 GMT 2023","Tue Feb 21 14:50:19 GMT 2023","6052","","","","","","CheckThatUserSeesCorrectResultsWhenEnteringVacancyInSearchInputInCareerBlock",""
"passed","Tue Feb 21 14:51:01 GMT 2023","Tue Feb 21 14:51:08 GMT 2023","6854","","","","","","CheckThatUserSeesVacancySelectedFromSeniorityBlockInSideBar",""
"passed","Tue Feb 21 14:50:33 GMT 2023","Tue Feb 21 14:50:36 GMT 2023","3013","","","","","","CheckThatUserSeesStartPageAfterClearedTextFromSearchInputInCareerBlock",""
"passed","Tue Feb 21 14:50:29 GMT 2023","Tue Feb 21 14:50:33 GMT 2023","3120","","","","","","CheckThatUserSeesMessageAboutFailSearchResultsAfterClearedSearchInputInCareerBlock",""
"passed","Tue Feb 21 14:50:21 GMT 2023","Tue Feb 21 14:50:27 GMT 2023","6917","","","","","","CheckThatUserSeesCorrectSearchResultsWhenEnteringPartOfNameVacancyInSearchInputInCareerBlock",""
"passed","Tue Feb 21 14:50:10 GMT 2023","Tue Feb 21 14:50:12 GMT 2023","2100","","","","","","CheckThatAllDropdownsAreExpandedByDefault",""
"passed","Tue Feb 21 14:51:10 GMT 2023","Tue Feb 21 14:51:27 GMT 2023","17255","","","","","","CheckThatUserDeleteSelectedTagsFromStackSideBarClickingResetButton",""
"passed","Tue Feb 21 14:52:06 GMT 2023","Tue Feb 21 14:52:13 GMT 2023","6839","","","","","","CheckThatUserSeesVacancySelectedFromDirectionDropdown",""
"passed","Tue Feb 21 14:53:23 GMT 2023","Tue Feb 21 14:53:28 GMT 2023","4204","","","","","","CheckThatContactUsFormWorksCorrectWithValidAttachedFilesFormat",""
"passed","Tue Feb 21 14:50:51 GMT 2023","Tue Feb 21 14:50:59 GMT 2023","7739","","","","","","CheckThatUserSeesVacanciesSelectedFromSeniorityBlockInSideBar",""
