"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","JobsBlockPart1","","2","0","0","0","0"
"","SearchField","","5","0","0","0","0"
"","ContactUs","","1","0","9","0","0"
"","SearchBlock","","4","0","0","0","0"
"","ApplyRequestForAJob","","1","0","0","0","0"
"","DropdownInCareerPage","","4","0","0","0","0"
"","TechnologyStackSideBar","","2","0","0","0","0"
"","DirectionSideBar","","3","0","0","0","0"
"","SeniorityLevelSideBar","","2","0","0","0","0"
"","HomePage","","2","0","0","0","0"
"","SearchFieldInCareerPage","","3","0","0","0","0"
"","TagsSideSideBar","","1","0","0","0","0"
"","JobsBlockPart2","","1","0","0","0","0"
